code,text
http://www.sobranie.mk/agjenda-ditore-2014-ns_article-mbledhja-nr-4-e-komisionit-per-mundesi-te-barabarta-te-femrave-dhe-meshkujve.nspx,http://www.sobranie.mk/agjenda-ditore-2014-ns_article-mbledhja-nr-4-e-komisionit-per-mundesi-te-barabarta-te-femrave-dhe-meshkujve.nspx
http://www.sobranie.mk/2014-njoftime.nspx,http://www.sobranie.mk/2014-njoftime.nspx
http://www.sobranie.mk/rezultatet-e-zgjedhjeve-2014.nspx,http://www.sobranie.mk/rezultatet-e-zgjedhjeve-2014.nspx
http://www.sobranie.mk/trupat-punues-2014-2018.nspx,http://www.sobranie.mk/trupat-punues-2014-2018.nspx
http://www.sobranie.mk/grupe-parlamentare-p-r-bashk-punim.nspx,http://www.sobranie.mk/grupe-parlamentare-p-r-bashk-punim.nspx
http://www.sobranie.mk/kompetencat-e-kuvendit.nspx,http://www.sobranie.mk/kompetencat-e-kuvendit.nspx
http://www.sobranie.mk/procedura-ligjv-n-se.nspx,http://www.sobranie.mk/procedura-ligjv-n-se.nspx
Informator on dayly activities conducted recieved by e mail.,Informator on dayly activities conducted recieved by e mail.
http://www.sobranie.mk/competencies.nspx,http://www.sobranie.mk/competencies.nspx
http://www.sobranie.mk/rules-procedures-of-the-assembly.nspx,http://www.sobranie.mk/rules-procedures-of-the-assembly.nspx
http://www.sobranie.mk/pocetna.nspx,http://www.sobranie.mk/pocetna.nspx
http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=af247f0e-f910-4e6d-b050-1f3f79a1d086&date=13.10.2014,http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=af247f0e-f910-4e6d-b050-1f3f79a1d086&date=13.10.2014
http://www.sobranie.mk/prenos-od-sednica.nspx,http://www.sobranie.mk/prenos-od-sednica.nspx
http://www.sobranie.mk/sessiondetails.nspx?sessionDetailsId=0d58bea1-56e2-4168-824c-fd1db540f3b7,http://www.sobranie.mk/sessiondetails.nspx?sessionDetailsId=0d58bea1-56e2-4168-824c-fd1db540f3b7
http://www.sobranie.mk/materijali.nspx,http://www.sobranie.mk/materijali.nspx
http://www.sobranie.mk/rabotni-tela-2014-2018-ns_article-komisija-za-finansiranje-i-budzet-2014.nspx,http://www.sobranie.mk/rabotni-tela-2014-2018-ns_article-komisija-za-finansiranje-i-budzet-2014.nspx
committee shedule is available one week in advance on http://www.sobranie.mk/pocetna.nspx,committee shedule is available one week in advance on http://www.sobranie.mk/pocetna.nspx
http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=5d8464b8-12ab-4e71-81bd-dc592d809517&date=15.10.2014,http://www.sobranie.mk/sessiondetailsrabotni.nspx?sessionDetailsId=5d8464b8-12ab-4e71-81bd-dc592d809517&date=15.10.2014
http://www.sobranie.mk/rabotni-tela-2014-2018-ns_article-komisija-za-ustavni-prashanja-2014.nspx,http://www.sobranie.mk/rabotni-tela-2014-2018-ns_article-komisija-za-ustavni-prashanja-2014.nspx
http://www.sobranie.mk/current-structure-2014-2018.nspx,http://www.sobranie.mk/current-structure-2014-2018.nspx
http://www.dksk.org.mk/imoti_2/,http://www.dksk.org.mk/imoti_2/
It is forbidden for MPs to be involved in comercial bodies.,It is forbidden for MPs to be involved in comercial bodies.
http://slvesnik.com.mk/,http://slvesnik.com.mk/
https://e-nabavki.gov.mk/PublicAccess/Home.aspx#/home,https://e-nabavki.gov.mk/PublicAccess/Home.aspx#/home
http://www.sobranie.mk/organizacija-na-sluzbata-na-sobranieto.nspx,http://www.sobranie.mk/organizacija-na-sluzbata-na-sobranieto.nspx
Greece,Greece
http://www.hellenicparliament.gr/,http://www.hellenicparliament.gr/
http://www.hellenicparliament.gr/Vouli-ton-Ellinon/To-Politevma/Syntagma/,http://www.hellenicparliament.gr/Vouli-ton-Ellinon/To-Politevma/Syntagma/
http://www.hellenicparliament.gr/Vouli-ton-Ellinon/Kanonismos-tis-Voulis/,http://www.hellenicparliament.gr/Vouli-ton-Ellinon/Kanonismos-tis-Voulis/
http://www.hellenicparliament.gr/Nomothetiko-Ergo/dailyplan,http://www.hellenicparliament.gr/Nomothetiko-Ergo/dailyplan
http://parltv.live.grnet.gr/webtv/,http://parltv.live.grnet.gr/webtv/
http://www.hellenicparliament.gr/Praktika/Optiko-akoustiko-yliko-synedriaseon-Olomeleias,http://www.hellenicparliament.gr/Praktika/Optiko-akoustiko-yliko-synedriaseon-Olomeleias
http://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias,http://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias
http://www.hellenicparliament.gr/Nomothetiko-Ergo/Psifisthenta-Nomoschedia,http://www.hellenicparliament.gr/Nomothetiko-Ergo/Psifisthenta-Nomoschedia
http://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?type=0_0_1_0_0,http://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?type=0_0_1_0_0
http://www.hellenicparliament.gr/Vouli-ton-Ellinon/Kanonismos-tis-Voulis/article-32/,http://www.hellenicparliament.gr/Vouli-ton-Ellinon/Kanonismos-tis-Voulis/article-32/
"Yes, if reporters do so. The weekly programme doesn't state if the meeting is in private, but reportes do know by experience.","Yes, if reporters do so. The weekly programme doesn't state if the meeting is in private, but reportes do know by experience."
http://www.hellenicparliament.gr/Praktika/Optiko-akoustiko-yliko-synedriaseon-Koinovouleftikon-Epitropon,http://www.hellenicparliament.gr/Praktika/Optiko-akoustiko-yliko-synedriaseon-Koinovouleftikon-Epitropon
http://www.hellenicparliament.gr/Koinovouleftikes-Epitropes/Evdomadiaio-Deltio,http://www.hellenicparliament.gr/Koinovouleftikes-Epitropes/Evdomadiaio-Deltio
on each bill that they apply,on each bill that they apply
on each bill's page that apply,on each bill's page that apply
http://www.hellenicparliament.gr/Koinovouleftikes-Epitropes/Katigories,http://www.hellenicparliament.gr/Koinovouleftikes-Epitropes/Katigories
http://www.hellenicparliament.gr/Vouleftes/Ana-Koinovouleftiki-Omada/,http://www.hellenicparliament.gr/Vouleftes/Ana-Koinovouleftiki-Omada/
http://www.hellenicparliament.gr/Vouleftes/Viografika-Stoicheia/,http://www.hellenicparliament.gr/Vouleftes/Viografika-Stoicheia/
http://diafaneia.hellenicparliament.gr/,http://diafaneia.hellenicparliament.gr/
Chile,Chile
http://www.senado.cl/datos-abiertos-legislativos/prontus_senado/2012-11-27/154842.html,http://www.senado.cl/datos-abiertos-legislativos/prontus_senado/2012-11-27/154842.html
http://www.senado.cl/,http://www.senado.cl/
http://www.senado.cl/funciones-del-senado/prontus_senado/2012-11-07/100615.html,http://www.senado.cl/funciones-del-senado/prontus_senado/2012-11-07/100615.html
http://www.senado.cl/appsenado/index.php?mo=sesionessala&listado=1&ac=listado&legi=485,http://www.senado.cl/appsenado/index.php?mo=sesionessala&listado=1&ac=listado&legi=485
Twitter,Twitter
http://www.senado.cl/prontus_senado/site/edic/base/port/institucion.html,http://www.senado.cl/prontus_senado/site/edic/base/port/institucion.html
http://www.senado.cl/prontus_senado/site/edic/base/port/sala_sesiones.html,http://www.senado.cl/prontus_senado/site/edic/base/port/sala_sesiones.html
http://www.senado.cl/prontus_senado/site/edic/base/port/tv_senado.html?filler=0.0507315120404606,http://www.senado.cl/prontus_senado/site/edic/base/port/tv_senado.html?filler=0.0507315120404606
http://www.senado.cl/appsenado/index.php?mo=sesionessala&ac=votacionSala&legiini=462,http://www.senado.cl/appsenado/index.php?mo=sesionessala&ac=votacionSala&legiini=462
http://www.senado.cl/appsenado/templates/tramitacion/index.php,http://www.senado.cl/appsenado/templates/tramitacion/index.php
http://www.senado.cl/reglamento-del-senado/prontus_senado/2012-11-07/110101.html#vtxt_cuerpo_T3,http://www.senado.cl/reglamento-del-senado/prontus_senado/2012-11-07/110101.html#vtxt_cuerpo_T3
http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=citacionesComision&tipo_consulta=2,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=citacionesComision&tipo_consulta=2
http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=ultimas_sesiones,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=ultimas_sesiones
http://www.senado.cl/prontus_senado/site/edic/base/port/senadores.html,http://www.senado.cl/prontus_senado/site/edic/base/port/senadores.html
http://www.senado.cl/appsenado/index.php?mo=sesionessala&ac=asistenciaSenadores&legiid=485&camara=S&legiini=361,http://www.senado.cl/appsenado/index.php?mo=sesionessala&ac=asistenciaSenadores&legiid=485&camara=S&legiini=361
http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=asist_x_senador,http://www.senado.cl/appsenado/index.php?mo=comisiones&ac=asist_x_senador
http://www.senado.cl/appsenado/index.php?mo=transparencia&ac=informeTransparencia&tipo=7,http://www.senado.cl/appsenado/index.php?mo=transparencia&ac=informeTransparencia&tipo=7
http://www.senado.cl/prontus_senado/site/edic/base/port/ley_lobby.html,http://www.senado.cl/prontus_senado/site/edic/base/port/ley_lobby.html
http://www.senado.cl/resoluciones-comision-de-etica-y-transparencia/prontus_senado/2012-11-20/231100.html,http://www.senado.cl/resoluciones-comision-de-etica-y-transparencia/prontus_senado/2012-11-20/231100.html
http://www.senado.cl/prontus_senado/site/edic/base/port/transparencia.html,http://www.senado.cl/prontus_senado/site/edic/base/port/transparencia.html
http://www.senado.cl/prontus_senado/site/artic/20140915/asocfile/20140915111845/publicaci__n_ejecuci__n_presupuesto_2014_a_agosto.pdf,http://www.senado.cl/prontus_senado/site/artic/20140915/asocfile/20140915111845/publicaci__n_ejecuci__n_presupuesto_2014_a_agosto.pdf
Spain,Spain
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Norm/Reglam,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Norm/Reglam
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/Votaciones,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/Votaciones
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Publicaciones/Aviso_Legal,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Publicaciones/Aviso_Legal
http://www.congreso.es/portal/page/portal/Congreso/Congreso,http://www.congreso.es/portal/page/portal/Congreso/Congreso
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Funciones1,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Funciones1
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/CalSesPle,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/CalSesPle
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/ConOrdDia,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/ConOrdDia
http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/ConDir,http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/ConDir
http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/HistEmisionFecha,http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/HistEmisionFecha
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Intervenciones,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Intervenciones
http://www.congreso.es/portal/page/portal/B84A65E9D888B19CE043AC1A640CB19C,http://www.congreso.es/portal/page/portal/B84A65E9D888B19CE043AC1A640CB19C
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/ProydeLey,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/ProydeLey
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/Busqueda%20Avanzada,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/Busqueda%20Avanzada
http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/HistEmisionFecha?_piref73_2824053_73_2140072_2140072.next_page=/wc/audiovisualEmisionesOrgano&idLegislatura=10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/CongresoTV/HistEmisionFecha?_piref73_2824053_73_2140072_2140072.next_page=/wc/audiovisualEmisionesOrgano&idLegislatura=10
http://www.congreso.es/portal/page/portal/2BB9F823FB96506EE043AC1A8003506E,http://www.congreso.es/portal/page/portal/2BB9F823FB96506EE043AC1A8003506E
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/ConOrdDia/ConOrdDiaCom,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Actualidad/ConOrdDia/ConOrdDiaCom
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Intervenciones/Busqueda%20avanzada,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Intervenciones/Busqueda%20avanzada
"Yes, but you have to look for them in the committee session transcripts","Yes, but you have to look for them in the committee session transcripts"
"I don't know if the complete version is online, but there are reports available here: http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/Busqueda%20Avanzada","I don't know if the complete version is online, but there are reports available here: http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/Busqueda%20Avanzada"
"Members' roles are not online, but committee memberships are. http://www.congreso.es/portal/page/portal/Congreso/Congreso/Organos/Comision ","Members' roles are not online, but committee memberships are. http://www.congreso.es/portal/page/portal/Congreso/Congreso/Organos/Comision "
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados
"Yes, but they try if they want to show their contact information: http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados","Yes, but they try if they want to show their contact information: http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados"
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Informacion/Presupuesto,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Informacion/Presupuesto
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Informacion/PerfilcontratanteCong,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Informacion/PerfilcontratanteCong
Italy,Italy
http://data.camera.it/data/en/,http://data.camera.it/data/en/
Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)
http://www.camera.it,http://www.camera.it
http://www.camera.it/leg17/619?conoscerelacamera=11,http://www.camera.it/leg17/619?conoscerelacamera=11
http://www.camera.it/leg17/438?shadow_regolamento_capi=917&shadow_regolamento_articoli_titolo=Articolo%204,http://www.camera.it/leg17/438?shadow_regolamento_capi=917&shadow_regolamento_articoli_titolo=Articolo%204
http://www.camera.it/leg17/481,http://www.camera.it/leg17/481
http://www.camera.it/leg17/69?testostrumenti=2,http://www.camera.it/leg17/69?testostrumenti=2
http://www.camera.it/leg17/391?conoscerelacamera=9,http://www.camera.it/leg17/391?conoscerelacamera=9
http://www.camera.it/leg17/187,http://www.camera.it/leg17/187
http://www.camera.it/leg17/76?view=76&active_tab_3806=4184&element_id=agenda_lavori,http://www.camera.it/leg17/76?view=76&active_tab_3806=4184&element_id=agenda_lavori
http://webtv.camera.it/home,http://webtv.camera.it/home
http://www.camera.it/leg17/207,http://www.camera.it/leg17/207
http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII,http://documenti.camera.it/votazioni/votazionitutte/FormVotazioni.Asp?Legislatura=XVII
http://www.camera.it/leg17/141,http://www.camera.it/leg17/141
http://www.camera.it/leg17/126?pdl=2629-A,http://www.camera.it/leg17/126?pdl=2629-A
http://www.camera.it/leg17/201,http://www.camera.it/leg17/201
http://www.camera.it/leg17/737,http://www.camera.it/leg17/737
http://www.camera.it/leg17/438?shadow_regolamento_capi=941&shadow_regolamento_articoli_titolo=Articolo%2019,http://www.camera.it/leg17/438?shadow_regolamento_capi=941&shadow_regolamento_articoli_titolo=Articolo%2019
http://www.camera.it/leg17/76,http://www.camera.it/leg17/76
http://www.camera.it/leg17/210,http://www.camera.it/leg17/210
http://www.camera.it/leg17/99?shadow_organo_parlamentare=2075,http://www.camera.it/leg17/99?shadow_organo_parlamentare=2075
http://www.camera.it/leg17/520?tipo=incrementale&elenco=i_201410_ga,http://www.camera.it/leg17/520?tipo=incrementale&elenco=i_201410_ga
http://www.camera.it/leg17/1003,http://www.camera.it/leg17/1003
http://www.camera.it/leg17/921?shadow_deputato=302940,http://www.camera.it/leg17/921?shadow_deputato=302940
http://www.camera.it/leg17/14?conoscerelacamera=89,http://www.camera.it/leg17/14?conoscerelacamera=89
http://www.camera.it/application/xmanager/projects/Leg17/file/conoscere_la_camera/primosemestre2014.pdf,http://www.camera.it/application/xmanager/projects/Leg17/file/conoscere_la_camera/primosemestre2014.pdf
http://www.camera.it/leg17/369?conoscerelacamera=85,http://www.camera.it/leg17/369?conoscerelacamera=85
Kosovo,Kosovo
http://www.assembly-kosova.org,http://www.assembly-kosova.org
"Yes, those observing via radio, television, internet, or other service are provided with interpretation","Yes, those observing via radio, television, internet, or other service are provided with interpretation"
"Yes, using SMS or mobile technology","Yes, using SMS or mobile technology"
http://http://www.assembly-kosova.org,http://http://www.assembly-kosova.org
http://http://www.assembly-kosova.org/,http://http://www.assembly-kosova.org/
http://www.assembly-kosova.org ,http://www.assembly-kosova.org 
Asset declarations are published online by the government anticorruption agency.,Asset declarations are published online by the government anticorruption agency.
other webiste,other webiste
Croatia,Croatia
http://www.sabor.hr/Default.aspx?sec=734,http://www.sabor.hr/Default.aspx?sec=734
http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html,http://narodne-novine.nn.hr/clanci/sluzbeni/2013_02_25_403.html
http://www.sabor.hr/Default.aspx?art=12571&re=13642&sec=1063,http://www.sabor.hr/Default.aspx?art=12571&re=13642&sec=1063
http://www.sabor.hr/English,http://www.sabor.hr/English
http://www.sabor.hr/Default.aspx?sec=482,http://www.sabor.hr/Default.aspx?sec=482
http://www.sabor.hr/poslovnik-hrvatskoga-sabora-nn-81-13,http://www.sabor.hr/poslovnik-hrvatskoga-sabora-nn-81-13
http://itv.sabor.hr/video/,http://itv.sabor.hr/video/
http://www.sabor.hr/Default.aspx?sec=4613,http://www.sabor.hr/Default.aspx?sec=4613
http://www.sabor.hr/noviakti,http://www.sabor.hr/noviakti
http://www.sabor.hr/noviakti; http://www.sabor.hr/Default.aspx?sec=4605;,http://www.sabor.hr/noviakti; http://www.sabor.hr/Default.aspx?sec=4605;
https://infodok.sabor.hr/AktiFrm.aspx,https://infodok.sabor.hr/AktiFrm.aspx
http://www.sabor.hr/Default.aspx?sec=2141,http://www.sabor.hr/Default.aspx?sec=2141
There are not internal committee rules.,There are not internal committee rules.
on the request a citizen can attend committee meeting,on the request a citizen can attend committee meeting
there are only announcements of the committee sessions and MP activities,there are only announcements of the committee sessions and MP activities
http://www.sabor.hr/Default.aspx?sec=2145,http://www.sabor.hr/Default.aspx?sec=2145
summarizied transcripts,summarizied transcripts
"in the summarized transcripts only total voting records are available, but not individually","in the summarized transcripts only total voting records are available, but not individually"
http://www.sabor.hr/Default.aspx?sec=4661,http://www.sabor.hr/Default.aspx?sec=4661
http://www.sabor.hr/Default.aspx?sec=4661;,http://www.sabor.hr/Default.aspx?sec=4661;
http://www.sabor.hr/zastupnici,http://www.sabor.hr/zastupnici
http://www.sabor.hr/Default.aspx?sec=4714,http://www.sabor.hr/Default.aspx?sec=4714
"information on MPs attendance in the parliament is only available, but  if they attended the committe meetings as well http://www.sabor.hr/Default.aspx?sec=5469; ","information on MPs attendance in the parliament is only available, but  if they attended the committe meetings as well http://www.sabor.hr/Default.aspx?sec=5469; "
information available only within the General State Budget,information available only within the General State Budget
http://www.sabor.hr/nabava,http://www.sabor.hr/nabava
http://www.sabor.hr/Default.aspx?sec=432,http://www.sabor.hr/Default.aspx?sec=432
Serbia,Serbia
http://www.parlament.gov.rs/upload/archive/files/cir/pdf/ostala_akta/2013/RS30-13.pdf,http://www.parlament.gov.rs/upload/archive/files/cir/pdf/ostala_akta/2013/RS30-13.pdf
http://www.parlament.rs/national-assembly.467.html,http://www.parlament.rs/national-assembly.467.html
http://www.parlament.gov.rs/national-assembly/role-and-mode-of-operation/jurisdiction.501.html,http://www.parlament.gov.rs/national-assembly/role-and-mode-of-operation/jurisdiction.501.html
http://www.parlament.gov.rs/activities/national-assembly/sessions/regular.545.html,http://www.parlament.gov.rs/activities/national-assembly/sessions/regular.545.html
http://www.parlament.gov.rs/national-assembly/important-documents.531.html,http://www.parlament.gov.rs/national-assembly/important-documents.531.html
http://www.parlament.rs/народна-скупштина/организација-и-стручна-служба/други-акти-којима-се-уређује-рад-службе-народне-скупштине.1515.html,http://www.parlament.rs/народна-скупштина/организација-и-стручна-служба/други-акти-којима-се-уређује-рад-службе-народне-скупштине.1515.html
http://www.parlament.gov.rs/activities/calendar.594.html,http://www.parlament.gov.rs/activities/calendar.594.html
Yearly schedule not available but it is monthly,Yearly schedule not available but it is monthly
http://www.parlament.rs/преноси.2091.html,http://www.parlament.rs/преноси.2091.html
http://www.parlament.rs/Пета_седница_Другог_редовног.22968.43.html,http://www.parlament.rs/Пета_седница_Другог_редовног.22968.43.html
"http://www.parlament.rs/upload/archive/files/cir/doc/Listinzi/2014/2014.10.26%204.%20Predlog%20zakona%20o%20izmenama%20i%20dopunama%20Zakona%20o%20Centralnom%20registru%20obavezog%20socijalnog%20osiguranja,%20u%20celini.pdf","http://www.parlament.rs/upload/archive/files/cir/doc/Listinzi/2014/2014.10.26%204.%20Predlog%20zakona%20o%20izmenama%20i%20dopunama%20Zakona%20o%20Centralnom%20registru%20obavezog%20socijalnog%20osiguranja,%20u%20celini.pdf"
Voting records are published on parliament's website but in PDF format that is not easily to search,Voting records are published on parliament's website but in PDF format that is not easily to search
http://www.parlament.rs/акти/закони-у-процедури/закони-у-процедури.46.html,http://www.parlament.rs/акти/закони-у-процедури/закони-у-процедури.46.html
http://www.parlament.rs/акти/донети-закони/донети-закони.45.html,http://www.parlament.rs/акти/донети-закони/донети-закони.45.html
http://www.parlament.rs/акти/остала-акта/донета-акта/донета-акта.48.html,http://www.parlament.rs/акти/остала-акта/донета-акта/донета-акта.48.html
http://www.parlament.rs/national-assembly/important-documents/rules-of-procedure-(consolidated-text)/working-bodies-of-the-national-assembly.1355.html,http://www.parlament.rs/national-assembly/important-documents/rules-of-procedure-(consolidated-text)/working-bodies-of-the-national-assembly.1355.html
http://www.parlament.rs/преноси/седнице-одбора-и-осталих-радних-тела.2093.html,http://www.parlament.rs/преноси/седнице-одбора-и-осталих-радних-тела.2093.html
Committee schedule is online  available just a few days before the meeting,Committee schedule is online  available just a few days before the meeting
http://www.parlament.rs/активности/календар.89.html,http://www.parlament.rs/активности/календар.89.html
"those reports include very poor information, they are more press releases than actual reports.  Reports submitted by third party such as ministry or independent institutions are available on website","those reports include very poor information, they are more press releases than actual reports.  Reports submitted by third party such as ministry or independent institutions are available on website"
http://www.parlament.rs/national-assembly/composition/working-bodies/committees.68.492.html,http://www.parlament.rs/national-assembly/composition/working-bodies/committees.68.492.html
http://www.parlament.rs/DRAGAN_ALEKSIC.829.488.html,http://www.parlament.rs/DRAGAN_ALEKSIC.829.488.html
http://www.parlament.rs/citizens-corner/ask/ask-the-mps.691.html?memberId=829,http://www.parlament.rs/citizens-corner/ask/ask-the-mps.691.html?memberId=829
http://www.parlament.rs/activities/information-booklet/information-booklet-–-contents.618.html,http://www.parlament.rs/activities/information-booklet/information-booklet-–-contents.618.html
http://www.parlament.rs/activities/information-booklet/information-booklet-–-contents.618.html ,http://www.parlament.rs/activities/information-booklet/information-booklet-–-contents.618.html 
http://www.parlament.gov.rs/народна-скупштина/организација-и-стручна-служба/генерални-секретаријат-народне-скупштине/генерални-секретаријат-народне-скупштине.1494.html,http://www.parlament.gov.rs/народна-скупштина/организација-и-стручна-служба/генерални-секретаријат-народне-скупштине/генерални-секретаријат-народне-скупштине.1494.html
Colombia,Colombia
http://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=11368,http://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=11368
http://www.senado.gov.co/,http://www.senado.gov.co/
http://www.imprenta.gov.co/gacetap/gaceta.portals,http://www.imprenta.gov.co/gacetap/gaceta.portals
http://www.secretariasenado.gov.co/index.php/leyes-y-antecedentes,http://www.secretariasenado.gov.co/index.php/leyes-y-antecedentes
http://www.registraduria.gov.co/,http://www.registraduria.gov.co/
http://www.senado.gov.co/comisiones/comisiones-constitucionales/comision-primera,http://www.senado.gov.co/comisiones/comisiones-constitucionales/comision-primera
http://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125,http://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
5th Law,5th Law
www.senado.gov.co,www.senado.gov.co
http://www.senado.gov.co/sala-de-prensa/agenda-legislativa,http://www.senado.gov.co/sala-de-prensa/agenda-legislativa
http://www.senado.gov.co/transparencia/presupuesto,http://www.senado.gov.co/transparencia/presupuesto
http://www.senado.gov.co/el-senado/area-administrativa,http://www.senado.gov.co/el-senado/area-administrativa
Netherlands,Netherlands
http://www.tweedekamer.nl,http://www.tweedekamer.nl
http://www.tweedekamer.nl/hoe_werkt_het,http://www.tweedekamer.nl/hoe_werkt_het
http://www.tweedekamer.nl/applicaties/uw_privacy,http://www.tweedekamer.nl/applicaties/uw_privacy
http://www.tweedekamer.nl/hoe_werkt_het/de_nederlandse_democratie,http://www.tweedekamer.nl/hoe_werkt_het/de_nederlandse_democratie
http://www.tweedekamer.nl/over_de_tweede_kamer/reglement_tweede_kamer,http://www.tweedekamer.nl/over_de_tweede_kamer/reglement_tweede_kamer
http://www.tweedekamer.nl/vergaderingen,http://www.tweedekamer.nl/vergaderingen
http://www.tweedekamer.nl/vergaderingen/livedebat,http://www.tweedekamer.nl/vergaderingen/livedebat
http://www.tweedekamer.nl/vergaderingen/debatgemist,http://www.tweedekamer.nl/vergaderingen/debatgemist
http://www.tweedekamer.nl/kamerstukken/plenaire_verslagen,http://www.tweedekamer.nl/kamerstukken/plenaire_verslagen
http://www.tweedekamer.nl/kamerstukken/stemmingsuitslagen,http://www.tweedekamer.nl/kamerstukken/stemmingsuitslagen
http://www.tweedekamer.nl/kamerstukken/wetsvoorstellen,http://www.tweedekamer.nl/kamerstukken/wetsvoorstellen
https://zoek.officielebekendmakingen.nl/zoeken/parlementaire_documenten,https://zoek.officielebekendmakingen.nl/zoeken/parlementaire_documenten
http://www.tweedekamer.nl/kamerleden/commissies,http://www.tweedekamer.nl/kamerleden/commissies
Committee rules are part of the rules and procedures of the parliament. ,Committee rules are part of the rules and procedures of the parliament. 
http://www.tweedekamer.nl/vergaderingen/commissievergaderingen,http://www.tweedekamer.nl/vergaderingen/commissievergaderingen
http://www.tweedekamer.nl/kamerstukken/verslagen,http://www.tweedekamer.nl/kamerstukken/verslagen
http://www.tweedekamer.nl/kamerleden/commissies/,http://www.tweedekamer.nl/kamerleden/commissies/
there are no committee resolutions only plenary ones.,there are no committee resolutions only plenary ones.
http://www.tweedekamer.nl/kamerleden/alle_kamerleden,http://www.tweedekamer.nl/kamerleden/alle_kamerleden
http://www.tweedekamer.nl/kamerleden/openbare_registers,http://www.tweedekamer.nl/kamerleden/openbare_registers
http://www.tweedekamer.nl/over_de_tweede_kamer/lobbyistenregister,http://www.tweedekamer.nl/over_de_tweede_kamer/lobbyistenregister
http://www.tweedekamer.nl/kamerleden/presidium/,http://www.tweedekamer.nl/kamerleden/presidium/
http://tweedekamer.nl/over_de_tweede_kamer/organogram/stafdienst_personeel_en_organisatie,http://tweedekamer.nl/over_de_tweede_kamer/organogram/stafdienst_personeel_en_organisatie
Brazil,Brazil
